,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
0,2017-08-21,70.34933580350389,70.37343256251656,70.24490834328627,70.33326721191406,7763400,0.0,0,HYG
1,2017-08-22,70.39754809635697,70.68672153837475,70.35738273504249,70.6224594116211,12982200,0.0,0,HYG
2,2017-08-23,70.50196891154778,70.66262422719117,70.4537753810416,70.6304931640625,6449500,0.0,0,HYG
3,2017-08-24,70.66265687543029,70.74298150617751,70.59036041789425,70.73494720458984,8480100,0.0,0,HYG
4,2017-08-25,70.71883951424498,70.88752296947584,70.69474275326522,70.8634262084961,6622800,0.0,0,HYG
5,2017-08-26,70.71883951424498,70.88752296947584,70.69474275326522,70.8634262084961,6622800,0.0,0,HYG
6,2017-08-27,70.71883951424498,70.88752296947584,70.69474275326522,70.8634262084961,6622800,0.0,0,HYG
7,2017-08-28,70.90357725689604,70.90357725689604,70.79915592856887,70.87145233154297,5161700,0.0,0,HYG
8,2017-08-29,70.6947831634956,70.8072388645976,70.67871456140898,70.78314208984375,8991600,0.0,0,HYG
9,2017-08-30,70.80722285854841,71.00803744060421,70.79918855932127,70.97590637207031,13431100,0.0,0,HYG
10,2017-08-31,71.02408394258863,71.1767049517177,71.02408394258863,71.16867065429688,12705200,0.0,0,HYG
11,2017-09-01,71.10414690664024,71.26546978970924,71.10414690664024,71.24127197265625,10535700,0.37,0,HYG
12,2017-09-02,71.10414690664024,71.26546978970924,71.10414690664024,71.24127197265625,10535700,0.37,0,HYG
13,2017-09-03,71.10414690664024,71.26546978970924,71.10414690664024,71.24127197265625,10535700,0.37,0,HYG
14,2017-09-04,71.10414690664024,71.26546978970924,71.10414690664024,71.24127197265625,10535700,0.37,0,HYG
15,2017-09-05,71.19288331471621,71.19288331471621,70.95089281232663,71.0799560546875,9560500,0.0,0,HYG
16,2017-09-06,71.16868641107278,71.2090140592739,71.01542534731564,71.03155517578125,9023300,0.0,0,HYG
17,2017-09-07,71.14447871051989,71.14447871051989,71.0315514549535,71.03961944580078,8784000,0.0,0,HYG
18,2017-09-08,71.03153769881158,71.03153769881158,70.81375122070312,70.81375122070312,7688700,0.0,0,HYG
19,2017-09-09,71.03153769881158,71.03153769881158,70.81375122070312,70.81375122070312,7688700,0.0,0,HYG
20,2017-09-10,71.03153769881158,71.03153769881158,70.81375122070312,70.81375122070312,7688700,0.0,0,HYG
21,2017-09-11,70.93476018108166,71.13641687374648,70.86216057160391,71.03961944580078,8047600,0.0,0,HYG
22,2017-09-12,71.07187805274347,71.13640966483436,71.02348242071193,71.12834167480469,4752800,0.0,0,HYG
23,2017-09-13,71.06383554252096,71.16870098828628,71.02350788605969,71.1525650024414,11725900,0.0,0,HYG
24,2017-09-14,71.12027301970093,71.28160204841949,71.1122111838199,71.24933624267578,9554600,0.0,0,HYG
25,2017-09-15,71.20899263948414,71.3299878558403,71.17672683818434,71.31385803222656,8248000,0.0,0,HYG
26,2017-09-16,71.20899263948414,71.3299878558403,71.17672683818434,71.31385803222656,8248000,0.0,0,HYG
27,2017-09-17,71.20899263948414,71.3299878558403,71.17672683818434,71.31385803222656,8248000,0.0,0,HYG
28,2017-09-18,71.28968567867769,71.32195149428557,71.24129003230341,71.28162384033203,7442200,0.0,0,HYG
29,2017-09-19,71.30580663433392,71.36227026122805,71.24127501671954,71.35420227050781,7208300,0.0,0,HYG
30,2017-09-20,71.3703190779629,71.41064671258233,71.24125587740761,71.34611511230469,10087200,0.0,0,HYG
31,2017-09-21,71.37033391369269,71.37839574984912,71.24127068630906,71.25740051269531,6932300,0.0,0,HYG
32,2017-09-22,71.24933276827085,71.32999420166016,71.22513495366135,71.32999420166016,7570500,0.0,0,HYG
33,2017-09-23,71.24933276827085,71.32999420166016,71.22513495366135,71.32999420166016,7570500,0.0,0,HYG
34,2017-09-24,71.24933276827085,71.32999420166016,71.22513495366135,71.32999420166016,7570500,0.0,0,HYG
35,2017-09-25,71.30582206714942,71.38648352958818,71.2735562513589,71.37035369873047,4326200,0.0,0,HYG
36,2017-09-26,71.43487047796218,71.5316679135472,71.41874064906852,71.45906829833984,8816500,0.0,0,HYG
37,2017-09-27,71.45906719644836,71.51553698189129,71.37840574507514,71.4913330078125,7490100,0.0,0,HYG
38,2017-09-28,71.4913330078125,71.52359881917663,71.45100535916302,71.4913330078125,5934000,0.0,0,HYG
39,2017-09-29,71.5478124896275,71.5962142944336,71.46715102038483,71.5962142944336,8906900,0.0,0,HYG
40,2017-09-30,71.5478124896275,71.5962142944336,71.46715102038483,71.5962142944336,8906900,0.0,0,HYG
41,2017-10-01,71.5478124896275,71.5962142944336,71.46715102038483,71.5962142944336,8906900,0.0,0,HYG
42,2017-10-02,71.48688306428419,71.60027667129341,71.47068044643251,71.55977630615234,13097600,0.365,0,HYG
43,2017-10-03,71.5597349048053,71.69742617944173,71.5597349048053,71.6893310546875,5928800,0.0,0,HYG
44,2017-10-04,71.66502620166649,71.68932393248433,71.57593040234511,71.61642456054688,5832400,0.0,0,HYG
45,2017-10-05,71.60835256340602,71.7055435180664,71.60835256340602,71.7055435180664,5967900,0.0,0,HYG
46,2017-10-06,71.64072914742864,71.67312818478102,71.55973464378997,71.60023498535156,5847400,0.0,0,HYG
47,2017-10-07,71.64072914742864,71.67312818478102,71.55973464378997,71.60023498535156,5847400,0.0,0,HYG
48,2017-10-08,71.64072914742864,71.67312818478102,71.55973464378997,71.60023498535156,5847400,0.0,0,HYG
49,2017-10-09,71.63264276784778,71.65694050395729,71.58404111614351,71.60834503173828,3278400,0.0,0,HYG
50,2017-10-10,71.70554086167425,71.70554086167425,71.60024860486415,71.66504669189453,8786500,0.0,0,HYG
51,2017-10-11,71.66505485762995,71.66505485762995,71.57595902268275,71.59215545654297,7948700,0.0,0,HYG
52,2017-10-12,71.60021944573774,71.60021944573774,71.51112365722656,71.51112365722656,6181100,0.0,0,HYG
53,2017-10-13,71.60831612286225,71.62451254723486,71.50301773625056,71.54351806640625,3941200,0.0,0,HYG
54,2017-10-14,71.60831612286225,71.62451254723486,71.50301773625056,71.54351806640625,3941200,0.0,0,HYG
55,2017-10-15,71.60831612286225,71.62451254723486,71.50301773625056,71.54351806640625,3941200,0.0,0,HYG
56,2017-10-16,71.59215434609843,71.60025565264608,71.50305851253317,71.58405303955078,6060300,0.0,0,HYG
57,2017-10-17,71.58403263803707,71.72982521691227,71.58403263803707,71.6893310546875,7468100,0.0,0,HYG
58,2017-10-18,71.7136268249057,71.80272263063978,71.69742421687167,71.76222229003906,7974400,0.0,0,HYG
59,2017-10-19,71.66501723471139,71.80270847844008,71.63261820451349,71.77030944824219,7270600,0.0,0,HYG
60,2017-10-20,71.81083867601969,71.86753545680881,71.77033832710505,71.83513641357422,7107000,0.0,0,HYG
61,2017-10-21,71.81083867601969,71.86753545680881,71.77033832710505,71.83513641357422,7107000,0.0,0,HYG
62,2017-10-22,71.81083867601969,71.86753545680881,71.77033832710505,71.83513641357422,7107000,0.0,0,HYG
63,2017-10-23,71.84321567739897,71.87561471348013,71.75411987304688,71.75411987304688,7227200,0.0,0,HYG
64,2017-10-24,71.77842378472096,71.8351205529919,71.7460247486398,71.75411987304688,7103700,0.0,0,HYG
65,2017-10-25,71.7055219841038,71.7055219841038,71.45443718732008,71.55162811279297,16817000,0.0,0,HYG
66,2017-10-26,71.62455161104067,71.64884935059288,71.43016351513683,71.46256256103516,10649800,0.0,0,HYG
67,2017-10-27,71.51921490304042,71.67310255107101,71.46251815282234,71.65690612792969,13720000,0.0,0,HYG
